timestamp,source,action,details
1777892627.4183085,USB_RELAY,off,relay=3;response=3  >relay
1777892630.422229,USB_RELAY,on,relay=3;response=off 3  >
1777892630.4340477,USB_RELAY,off,relay=3;response=relay on
1777892633.4377308,USB_RELAY,on,relay=3;response=3  >relay
1777892633.4497898,USB_RELAY,off,relay=3;response=off 3  >
1777892636.453333,USB_RELAY,on,relay=3;response=relay on
1777892636.4651587,USB_RELAY,off,relay=3;response=3  >relay
1777892639.4658844,USB_RELAY,on,relay=3;response=off 3  >
1777892639.4794254,USB_RELAY,off,relay=3;response=relay on
1777892642.4833665,USB_RELAY,on,relay=3;response=3  >relay
1777892642.4952962,USB_RELAY,off,relay=3;response=off 3  >
1777892645.4990616,USB_RELAY,on,relay=3;response=relay on
1777892645.5102446,USB_RELAY,off,relay=3;response=3  >relay
1777892648.5116115,USB_RELAY,on,relay=3;response=off 3  >
1777892648.5251484,USB_RELAY,off,relay=3;response=relay on
1777892651.6164553,STM_PIN,high,pin=7
1777892651.6164553,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892663.8817787,STM_PIN,low,pin=7
1777892663.8817787,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892666.9986775,STM_PIN,low,pin=6
1777892667.0003893,POLARITY,cool,pin=6
1777892667.0556114,STM_PIN,high,pin=7
1777892667.0566204,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777892967.6446366,STM_PIN,low,pin=7
1777892967.645639,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777892967.7070491,USB_RELAY,on,relay=3;response=3  >relay
1777892967.7180793,USB_RELAY,off,relay=3;response=off 3  >
1777892970.7199852,USB_RELAY,on,relay=3;response=relay on
1777892970.7314522,USB_RELAY,off,relay=3;response=3  >relay
1777892973.7345014,USB_RELAY,on,relay=3;response=off 3  >
1777892973.7454555,USB_RELAY,off,relay=3;response=relay on
1777892976.7467604,USB_RELAY,on,relay=3;response=3  >relay
1777892976.7600274,USB_RELAY,off,relay=3;response=off 3  >
1777892979.7615767,USB_RELAY,on,relay=3;response=relay on
1777892979.7749834,USB_RELAY,off,relay=3;response=3  >relay
1777892982.7789717,USB_RELAY,on,relay=3;response=off 3  >
1777892982.789827,USB_RELAY,off,relay=3;response=relay on
1777892985.7940638,USB_RELAY,on,relay=3;response=3  >relay
1777892985.804853,USB_RELAY,off,relay=3;response=off 3  >
1777892988.8099337,USB_RELAY,on,relay=3;response=relay on
1777892988.8212492,USB_RELAY,off,relay=3;response=3  >relay
1777892991.8240385,USB_RELAY,on,relay=3;response=off 3  >
1777892991.8345635,USB_RELAY,off,relay=3;response=relay on
1777892994.8381233,USB_RELAY,on,relay=3;response=3  >relay
1777892994.84951,USB_RELAY,off,relay=3;response=off 3  >
1777892997.8690758,STM_PIN,high,pin=7
1777892997.883007,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893054.412946,STM_PIN,low,pin=7
1777893054.412946,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893057.5549376,STM_PIN,high,pin=6
1777893057.5549376,POLARITY,heat,pin=6
1777893057.6145515,STM_PIN,high,pin=7
1777893057.6145515,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893118.1338785,STM_PIN,low,pin=7
1777893118.1338785,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893118.2002125,USB_RELAY,on,relay=3;response=relay on
1777893118.214473,USB_RELAY,off,relay=3;response=3  >relay
1777893121.233889,USB_RELAY,on,relay=3;response=off 3  >
1777893121.2446113,USB_RELAY,off,relay=3;response=relay on
1777893124.2476132,USB_RELAY,on,relay=3;response=3  >relay
1777893124.2579927,USB_RELAY,off,relay=3;response=off 3  >
1777893127.2592952,USB_RELAY,on,relay=3;response=relay on
1777893127.2732506,USB_RELAY,off,relay=3;response=3  >relay
1777893130.2743585,USB_RELAY,on,relay=3;response=off 3  >
1777893130.2890525,USB_RELAY,off,relay=3;response=relay on
1777893133.2941494,USB_RELAY,on,relay=3;response=3  >relay
1777893133.3056622,USB_RELAY,off,relay=3;response=off 3  >
1777893136.3086464,USB_RELAY,on,relay=3;response=relay on
1777893136.3202953,USB_RELAY,off,relay=3;response=3  >relay
1777893139.3220723,USB_RELAY,on,relay=3;response=off 3  >
1777893139.3347554,USB_RELAY,off,relay=3;response=relay on
1777893142.33568,USB_RELAY,on,relay=3;response=3  >relay
1777893142.351033,USB_RELAY,off,relay=3;response=off 3  >
1777893145.3538961,USB_RELAY,on,relay=3;response=relay on
1777893145.3651965,USB_RELAY,off,relay=3;response=3  >relay
1777893148.3684773,USB_RELAY,on,relay=3;response=off 3  >
1777893148.379801,USB_RELAY,off,relay=3;response=relay on
1777893151.3828921,USB_RELAY,on,relay=3;response=3  >relay
1777893151.3943744,USB_RELAY,off,relay=3;response=off 3  >
1777893154.3964858,USB_RELAY,on,relay=3;response=relay on
1777893154.4100084,USB_RELAY,off,relay=3;response=3  >relay
1777893157.4804142,STM_PIN,high,pin=7
1777893157.4814248,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893172.8558943,STM_PIN,low,pin=7
1777893172.8568954,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893175.9632466,STM_PIN,low,pin=6
1777893175.9632466,POLARITY,cool,pin=6
1777893175.9855034,STM_PIN,high,pin=7
1777893175.9855034,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893492.093489,STM_PIN,low,pin=7
1777893492.093489,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893492.186797,USB_RELAY,on,relay=3;response=off 3  >
1777893492.1986039,USB_RELAY,off,relay=3;response=relay on
1777893495.202021,USB_RELAY,on,relay=3;response=3  >relay
1777893495.2137089,USB_RELAY,off,relay=3;response=off 3  >
1777893498.2149448,USB_RELAY,on,relay=3;response=relay on
1777893498.2270613,USB_RELAY,off,relay=3;response=3  >relay
1777893501.2301266,USB_RELAY,on,relay=3;response=off 3  >
1777893501.2409225,USB_RELAY,off,relay=3;response=relay on
1777893504.245693,USB_RELAY,on,relay=3;response=3  >relay
1777893504.2563775,USB_RELAY,off,relay=3;response=off 3  >
1777893507.258387,USB_RELAY,on,relay=3;response=relay on
1777893507.2717264,USB_RELAY,off,relay=3;response=3  >relay
1777893510.2736526,USB_RELAY,on,relay=3;response=off 3  >
1777893510.2866938,USB_RELAY,off,relay=3;response=relay on
1777893513.2886302,USB_RELAY,on,relay=3;response=3  >relay
1777893513.3021536,USB_RELAY,off,relay=3;response=off 3  >
1777893516.3051503,USB_RELAY,on,relay=3;response=relay on
1777893516.3188858,USB_RELAY,off,relay=3;response=3  >relay
1777893519.3211145,USB_RELAY,on,relay=3;response=off 3  >
1777893519.3346443,USB_RELAY,off,relay=3;response=relay on
1777893522.3381236,USB_RELAY,on,relay=3;response=3  >relay
1777893522.3492084,USB_RELAY,off,relay=3;response=off 3  >
1777893525.3500655,USB_RELAY,on,relay=3;response=relay on
1777893525.3629165,USB_RELAY,off,relay=3;response=3  >relay
1777893528.3670833,USB_RELAY,on,relay=3;response=off 3  >
1777893528.3777728,USB_RELAY,off,relay=3;response=relay on
1777893531.3815095,USB_RELAY,on,relay=3;response=3  >relay
1777893531.3921986,USB_RELAY,off,relay=3;response=off 3  >
1777893534.3951302,USB_RELAY,on,relay=3;response=relay on
1777893534.406495,USB_RELAY,off,relay=3;response=3  >relay
1777893537.4284844,STM_PIN,high,pin=7
1777893537.4294915,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893606.0441015,STM_PIN,low,pin=7
1777893606.0441015,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893609.1581118,STM_PIN,high,pin=6
1777893609.1589422,POLARITY,heat,pin=6
1777893609.208332,STM_PIN,high,pin=7
1777893609.208332,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777893668.5648909,STM_PIN,low,pin=7
1777893668.5648909,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777893668.6188776,USB_RELAY,on,relay=3;response=off 3  >
1777893668.6329117,USB_RELAY,off,relay=3;response=relay on
1777893671.6365025,USB_RELAY,on,relay=3;response=3  >relay
1777893671.6475267,USB_RELAY,off,relay=3;response=off 3  >
1777893674.650095,USB_RELAY,on,relay=3;response=relay on
1777893674.6627598,USB_RELAY,off,relay=3;response=3  >relay
1777893677.6662924,USB_RELAY,on,relay=3;response=off 3  >
1777893677.6772969,USB_RELAY,off,relay=3;response=relay on
1777893680.6793005,USB_RELAY,on,relay=3;response=3  >relay
1777893680.690619,USB_RELAY,off,relay=3;response=off 3  >
1777893683.6937907,USB_RELAY,on,relay=3;response=relay on
1777893683.7045786,USB_RELAY,off,relay=3;response=3  >relay
1777893686.708313,USB_RELAY,on,relay=3;response=off 3  >
1777893686.7193027,USB_RELAY,off,relay=3;response=relay on
1777893689.7236679,USB_RELAY,on,relay=3;response=3  >relay
1777893689.7347076,USB_RELAY,off,relay=3;response=off 3  >
1777893692.7356224,USB_RELAY,on,relay=3;response=relay on
1777893692.7484708,USB_RELAY,off,relay=3;response=3  >relay
1777893695.7521737,USB_RELAY,on,relay=3;response=off 3  >
