1777890172.281739 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.99523
1777890172.4838288 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.79079
1777890172.686971 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.62638
1777890172.888572 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.56843
1777890173.090802 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.44513
1777890173.2944157 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.39709
1777890173.4961572 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.28584
1777890173.6981854 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.39099
1777890173.9000306 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.07030
1777890174.1017938 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.93427
1777890174.3042614 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.10318
1777890174.506166 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.18601
1777890174.7090678 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.13553
1777890174.912285 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.11999
1777890175.114778 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.09489
1777890175.3165226 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.13242
1777890175.5186286 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.65885
1777890175.7214231 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.89450
1777890175.922993 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.81113
1777890176.1246953 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.76537
1777890176.3268213 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.85004
1777890176.5290487 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.67649
1777890176.7302947 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.82518
1777890176.9325683 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.48968
1777890177.1346717 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.90731
1777890177.3369796 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.71519
1777890177.5393126 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.34678
1777890177.7404141 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.34719
1777890177.9426603 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.14821
1777890178.1448467 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.32313
1777890178.3466194 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.19749
1777890178.5488036 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.09761
1777890178.7510738 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.27959
1777890178.953533 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.24075
