P,V_out,T
24.757,0.005391359329223633,26.57097578348954
24.757,0.005389690399169922,26.57097578348954
24.757,0.005392789840698242,26.57097578348954
24.756,0.005390048027038574,26.256289430994862
24.756,0.005392909049987793,26.256289430994862
24.756,0.005392313003540039,26.256289430994862
24.756,0.005390763282775879,26.256289430994862
24.756,0.005391478538513184,26.256289430994862
24.756,0.005392313003540039,26.256289430994862
24.752,0.005393505096435547,25.924314771164845
24.752,0.005393505096435547,25.924314771164845
24.752,0.005394458770751953,25.924314771164845
24.752,0.005393385887145996,25.924314771164845
24.752,0.005393505096435547,25.924314771164845
24.752,0.005393028259277344,25.924314771164845
24.749,0.005394101142883301,25.91375750954017
24.749,0.005395293235778809,25.91375750954017
24.749,0.005393266677856445,25.91375750954017
24.749,0.005392789840698242,25.91375750954017
24.749,0.005393505096435547,25.91375750954017
24.749,0.005394339561462402,25.91375750954017
24.749,0.00539553165435791,25.91375750954017
24.749,0.005394577980041504,25.563972822347488
24.749,0.005396008491516113,25.563972822347488
24.749,0.0053942203521728516,25.563972822347488
24.749,0.005394101142883301,25.563972822347488
24.749,0.0053942203521728516,25.563972822347488
24.749,0.0053958892822265625,25.563972822347488
24.747,0.005396246910095215,25.36843493744596
24.747,0.005395293235778809,25.36843493744596
24.747,0.005396008491516113,25.36843493744596
24.747,0.00539553165435791,25.36843493744596
24.747,0.0053969621658325195,25.36843493744596
24.747,0.005395650863647461,25.36843493744596
24.746,0.005396604537963867,25.085156033134666
24.746,0.005397319793701172,25.085156033134666
24.746,0.005397677421569824,25.085156033134666
24.746,0.005396246910095215,25.085156033134666
24.746,0.005396485328674316,25.085156033134666
24.746,0.005396008491516113,25.085156033134666
24.744,0.005397796630859375,24.989490131271943
24.744,0.005397319793701172,24.989490131271943
24.744,0.0053975582122802734,24.989490131271943
24.744,0.005396008491516113,24.989490131271943
24.744,0.005396485328674316,24.989490131271943
24.744,0.005397319793701172,24.989490131271943
24.744,0.005398273468017578,24.697159454345474
24.744,0.005397677421569824,24.697159454345474
24.744,0.005398154258728027,24.697159454345474
24.744,0.005398750305175781,24.697159454345474
24.744,0.005398750305175781,24.697159454345474
24.744,0.0053986310958862305,24.697159454345474
24.746,0.005399584770202637,24.756430516130898
24.746,0.0053986310958862305,24.756430516130898
24.746,0.0053997039794921875,24.756430516130898
24.746,0.005399584770202637,24.756430516130898
24.746,0.005398392677307129,24.756430516130898
24.746,0.005398750305175781,24.756430516130898
24.748,0.005399584770202637,24.258958254777625
24.748,0.005401253700256348,24.258958254777625
24.748,0.005400300025939941,24.258958254777625
24.748,0.0053997039794921875,24.258958254777625
24.748,0.005399942398071289,24.258958254777625
24.748,0.005400657653808594,24.258958254777625
24.746,0.005401134490966797,24.146257845375303
24.746,0.005400896072387695,24.146257845375303
24.746,0.005400180816650391,24.146257845375303
24.746,0.005401492118835449,24.146257845375303
24.746,0.005400180816650391,24.146257845375303
24.746,0.005400300025939941,24.146257845375303
24.747,0.0054007768630981445,23.87401844838628
24.747,0.005401492118835449,23.87401844838628
24.747,0.005401134490966797,23.87401844838628
24.747,0.005400657653808594,23.87401844838628
24.747,0.005401134490966797,23.87401844838628
24.747,0.005401015281677246,23.87401844838628
24.745,0.005401253700256348,23.739265096784578
24.745,0.005402326583862305,23.739265096784578
24.745,0.005402922630310059,23.739265096784578
24.745,0.005403399467468262,23.739265096784578
24.745,0.005400538444519043,23.739265096784578
24.745,0.0054018497467041016,23.739265096784578
24.743,0.005402803421020508,23.520657467850715
24.743,0.00540316104888916,23.520657467850715
24.743,0.005403280258178711,23.520657467850715
24.743,0.0054024457931518555,23.520657467850715
24.743,0.005403399467468262,23.520657467850715
24.743,0.005402922630310059,23.520657467850715
24.743,0.005402922630310059,23.259326348533634
24.743,0.005404353141784668,23.259326348533634
24.743,0.005405068397521973,23.259326348533634
24.743,0.005402565002441406,23.259326348533634
24.743,0.005402803421020508,23.259326348533634
24.743,0.005404353141784668,23.259326348533634
24.741,0.005404949188232422,22.98460056000195
24.741,0.005405306816101074,22.98460056000195
24.741,0.00540471076965332,22.98460056000195
24.741,0.005403041839599609,22.98460056000195
24.741,0.005404353141784668,22.98460056000195
24.741,0.0054051876068115234,22.98460056000195
24.739,0.005403757095336914,22.937155263200076
24.739,0.005404949188232422,22.937155263200076
24.739,0.005405306816101074,22.937155263200076
24.739,0.005406975746154785,22.937155263200076
24.739,0.005405783653259277,22.937155263200076
24.739,0.005405545234680176,22.937155263200076
24.739,0.0054062604904174805,22.837523940193794
24.739,0.0054056644439697266,22.837523940193794
24.739,0.005405306816101074,22.837523940193794
24.739,0.005406379699707031,22.837523940193794
24.739,0.0054056644439697266,22.837523940193794
24.739,0.0054062604904174805,22.837523940193794
24.739,0.005406618118286133,22.631799055769797
24.739,0.005406975746154785,22.631799055769797
24.739,0.005406856536865234,22.631799055769797
24.739,0.005408048629760742,22.631799055769797
24.739,0.005406618118286133,22.631799055769797
24.739,0.005406498908996582,22.631799055769797
24.737,0.005407810211181641,22.211339278195908
24.737,0.005408048629760742,22.211339278195908
24.737,0.005408048629760742,22.211339278195908
24.737,0.005407810211181641,22.211339278195908
24.737,0.005407571792602539,22.211339278195908
24.737,0.005407929420471191,22.211339278195908
24.738,0.005409121513366699,22.281963199463725
24.738,0.005408883094787598,22.281963199463725
24.738,0.0054094791412353516,22.281963199463725
24.738,0.005409836769104004,22.281963199463725
24.738,0.005409359931945801,22.281963199463725
24.738,0.005409121513366699,22.281963199463725
24.737,0.005409121513366699,22.11679314689605
24.737,0.005409955978393555,22.11679314689605
24.737,0.005410313606262207,22.11679314689605
24.737,0.005409121513366699,22.11679314689605
24.737,0.005408048629760742,22.11679314689605
24.737,0.005410313606262207,22.11679314689605
24.738,0.005410194396972656,21.658016200535428
24.738,0.005411386489868164,21.658016200535428
24.738,0.005410432815551758,21.658016200535428
24.738,0.005409359931945801,21.658016200535428
24.738,0.0054100751876831055,21.658016200535428
24.738,0.00540924072265625,21.658016200535428
24.736,0.0054111480712890625,21.53112371808608
24.736,0.005411624908447266,21.53112371808608
24.736,0.005409598350524902,21.53112371808608
24.736,0.005410909652709961,21.53112371808608
24.736,0.00541234016418457,21.53112371808608
24.736,0.005411982536315918,21.53112371808608
24.731,0.005411028861999512,21.142184163582705
24.731,0.005412101745605469,21.142184163582705
