1777896323.8015118 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.44647
1777896324.0038445 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.71221
1777896324.2072594 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.39905
1777896324.4089549 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.36293
1777896324.612369 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.31254
1777896324.8145843 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.14489
1777896325.0159793 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.27937
1777896325.2172406 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.20946
1777896325.4187093 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.23250
1777896325.6214402 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.23939
1777896325.8237567 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.03887
1777896326.0255775 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.99821
1777896326.2273178 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.99354
1777896326.430058 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.17209
1777896326.632826 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.87059
1777896326.8343923 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.90333
1777896327.0363584 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.14133
1777896327.2580142 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.70919
1777896327.4806645 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.56988
1777896327.681962 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.69378
1777896327.883321 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.57332
1777896328.085713 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.68493
1777896328.2881465 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.70348
1777896328.4903946 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.60520
1777896328.6920033 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.54296
1777896328.8934987 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.47720
1777896329.0959604 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.44345
1777896329.2972956 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.47596
1777896329.4997003 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.45224
1777896329.7018292 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.42898
1777896329.9040139 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.30615
1777896330.1062505 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.30335
1777896330.3089275 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.27749
