timestamp,source,action,details
1777899889.0142648,USB_RELAY,off,relay=3;response=off 3  >
1777899892.017688,USB_RELAY,on,relay=3;response=relay on
1777899892.030206,USB_RELAY,off,relay=3;response=3  >relay
1777899895.0326743,USB_RELAY,on,relay=3;response=off 3  >
1777899895.043973,USB_RELAY,off,relay=3;response=relay on
1777899898.0476887,USB_RELAY,on,relay=3;response=3  >relay
1777899898.0582058,USB_RELAY,off,relay=3;response=off 3  >
1777899901.0625865,USB_RELAY,on,relay=3;response=relay on
1777899901.073493,USB_RELAY,off,relay=3;response=3  >relay
1777899904.0769694,USB_RELAY,on,relay=3;response=off 3  >
1777899904.087541,USB_RELAY,off,relay=3;response=relay on
1777899907.0914073,USB_RELAY,on,relay=3;response=3  >relay
1777899907.1023965,USB_RELAY,off,relay=3;response=off 3  >
1777899910.1073751,USB_RELAY,on,relay=3;response=relay on
1777899910.1208658,USB_RELAY,off,relay=3;response=3  >relay
1777899913.130645,USB_RELAY,on,relay=3;response=off 3  >
1777899913.1419115,USB_RELAY,off,relay=3;response=relay on
1777899916.1880667,STM_PIN,high,pin=7
1777899916.1890798,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777899935.0302258,STM_PIN,low,pin=7
1777899935.0302258,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777899935.0873814,USB_RELAY,on,relay=3;response=3  >relay
1777899935.102936,USB_RELAY,off,relay=3;response=off 3  >
1777899941.1475506,STM_PIN,low,pin=6
1777899941.150622,POLARITY,cool,pin=6
1777899941.1767814,STM_PIN,high,pin=7
1777899941.1777797,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777900263.8007283,STM_PIN,low,pin=7
1777900263.801739,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777900263.87446,USB_RELAY,on,relay=3;response=relay on
1777900263.8868296,USB_RELAY,off,relay=3;response=3  >relay
1777900266.8905568,USB_RELAY,on,relay=3;response=off 3  >
1777900266.901832,USB_RELAY,off,relay=3;response=relay on
1777900269.9026957,USB_RELAY,on,relay=3;response=3  >relay
1777900269.915392,USB_RELAY,off,relay=3;response=off 3  >
1777900272.9185224,USB_RELAY,on,relay=3;response=relay on
1777900272.929019,USB_RELAY,off,relay=3;response=3  >relay
1777900275.9314647,USB_RELAY,on,relay=3;response=off 3  >
1777900275.9435515,USB_RELAY,off,relay=3;response=relay on
1777900278.9449222,USB_RELAY,on,relay=3;response=3  >relay
1777900278.960679,USB_RELAY,off,relay=3;response=off 3  >
1777900281.965122,USB_RELAY,on,relay=3;response=relay on
1777900281.975968,USB_RELAY,off,relay=3;response=3  >relay
1777900284.9773214,USB_RELAY,on,relay=3;response=off 3  >
1777900284.9915252,USB_RELAY,off,relay=3;response=relay on
1777900287.99756,USB_RELAY,on,relay=3;response=3  >relay
1777900288.0096428,USB_RELAY,off,relay=3;response=off 3  >
1777900291.0346484,USB_RELAY,on,relay=3;response=relay on
1777900291.0478098,USB_RELAY,off,relay=3;response=3  >relay
1777900294.0511203,USB_RELAY,on,relay=3;response=off 3  >
1777900294.063079,USB_RELAY,off,relay=3;response=relay on
1777900297.0657349,USB_RELAY,on,relay=3;response=3  >relay
1777900297.0776021,USB_RELAY,off,relay=3;response=off 3  >
1777900300.0786955,USB_RELAY,on,relay=3;response=relay on
1777900300.0912235,USB_RELAY,off,relay=3;response=3  >relay
1777900303.094791,USB_RELAY,on,relay=3;response=off 3  >
1777900303.1056046,USB_RELAY,off,relay=3;response=relay on
1777900306.128642,USB_RELAY,on,relay=3;response=3  >relay
1777900306.1401014,USB_RELAY,off,relay=3;response=off 3  >
1777900309.1432405,USB_RELAY,on,relay=3;response=relay on
1777900309.1559255,USB_RELAY,off,relay=3;response=3  >relay
1777900312.1596603,USB_RELAY,on,relay=3;response=off 3  >
1777900312.1714988,USB_RELAY,off,relay=3;response=relay on
1777900315.1749153,USB_RELAY,on,relay=3;response=3  >relay
1777900315.1866171,USB_RELAY,off,relay=3;response=off 3  >
1777900318.1899922,USB_RELAY,on,relay=3;response=relay on
1777900318.2016845,USB_RELAY,off,relay=3;response=3  >relay
1777900321.2049284,USB_RELAY,on,relay=3;response=off 3  >
