1777626026.973973 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.58179
1777626027.176389 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.92793
1777626027.380439 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.48148
1777626027.5835154 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.08205
1777626027.7845743 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.13327
1777626027.9866078 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.70891
1777626028.1896393 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.98618
1777626028.3908985 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.91554
1777626028.5927682 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.65417
1777626028.794955 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.08724
1777626028.9971094 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.19333
1777626029.199441 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.46069
1777626029.4017363 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=13.10657
1777626029.6039505 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.67753
1777626029.8061657 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.57532
1777626030.009763 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.75028
1777626030.210827 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.76463
1777626030.412905 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.47493
1777626030.6155162 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.82446
1777626030.817916 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=12.39462
